fen,depth,cp
1r6/5pk1/3p2p1/3Pp2p/4P3/1R2R2P/r4PPK/8 b - -,22,-254.0
4nrk1/r2n1ppp/p2p4/1p1NpPq1/1P2P1PP/5B2/1PP5/R3QR1K b - -,21,169.0
rk5r/1bB4p/2n1Npp1/p7/1bB5/2N5/1P3PPP/2KR3R b - -,19,488.0
r2r2k1/pbp1qpp1/1p2p2p/8/3P4/2Q1P3/PP2BPPP/2RR2K1 b - -,30,9.0
r2qkb1r/pp3pp1/2p1pnp1/6P1/2PP4/3BBQ1P/PP6/R4RK1 b kq -,20,181.0
r2q1rk1/ppp1bppp/3pbn2/4p3/2B1P3/2NP1Q1P/PPP2PP1/R1B1K2R w KQ -,24,0.0
rnbq1bnr/ppppk2p/4pp2/6pQ/3P1B2/4P3/PPP2PPP/RN2KBNR w KQ -,26,153.0
1bn5/p2k1pp1/Pp5p/1NpP4/2N5/6P1/1P3PKP/8 w - -,25,87.0
r4rk1/pp1bbp2/3p1n1p/2p1q1p1/2P1P1P1/P2PB2P/3NQ3/R4RK1 w - -,20,-422.0
2R5/6p1/4P1k1/p1p5/7Q/5q1b/8/6K1 w - -,30,0.0
8/6p1/5p1k/p1R4p/1p5P/1P3KP1/r7/8 b - -,32,-596.0
3q1r1b/3b1p1k/3pp1p1/1prNn2P/3NPP2/1P6/1PPQ4/1K1R3R b - -,19,-110.0
6k1/rp3pp1/2pb3p/5q2/2QP4/4PNP1/1R3PKP/8 b - -,36,0.0
rnbq1rk1/ppp2pb1/5ppp/3p4/3P4/2NBP3/PPP1NPPP/R2QK2R w KQ -,23,19.0
r2r2k1/pp1n1ppp/2p1p3/N7/1b2P3/3PBP2/PP2K1PP/2R4R w - -,21,47.0
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2NBP3/PP1PNPPP/R1BQK2R b KQkq -,23,-60.0
r4rk1/p4pp1/bpp4p/2b1PQ2/P4P2/1BN5/1P3nPP/R2R3K w - -,20,-161.0
8/4k3/3n4/ppp1pBp1/P3P1P1/1PP2K1P/8/8 b - -,24,-626.0
r5k1/ppq2p1p/3b1Q2/1B6/1r6/5N2/PPb2PPP/R4RK1 w - -,39,0.0
3rr1k1/ppq2ppp/5n2/2b5/1nP5/5NP1/PPbNQPBP/R1B1K2R w - -,18,-1290.0
8/6R1/7K/3rk1P1/8/8/8/8 b - -,40,571.0
r2qkb1r/ppp2pp1/2npbn1p/4p3/4P3/2PP1N2/PP2BPPP/RNBQK2R w KQkq -,20,23.0
rn3rk1/pbp3pp/1p1p2q1/1N3p2/2P5/2nBP3/PP3PPP/R2Q1RK1 w - -,20,-683.0
r1bqkb1r/ppp2ppp/2n1p3/1B1p4/3Pn2N/4P3/PPP2PPP/RNBQK2R w KQkq -,25,-7.0
8/1N6/b7/4pk2/7P/6K1/5P2/8 w - -,46,2.0
3r1rk1/1q3p1p/pp2pp2/8/2p2Q2/2n3P1/PP2PP1P/3R1RK1 w - -,26,3.0
3rnk2/4Npp1/p2p3p/1p1b4/3P4/P2B3P/1P1B1PP1/2R3K1 b - -,19,47.0
2r1k2r/1bq1bpB1/p3p3/6P1/4p3/1Q6/PPP2P2/2KR1BR1 b k -,28,140.0
r1bqk2r/ppp2ppp/2nb1n2/3pp3/3P3P/2P2NP1/PP2PPB1/RNBQK2R w KQkq -,25,-7.0
r1bqkb1r/ppp2ppp/5Bn1/1P1p4/8/P3P3/2PP1PPP/RN1QKBNR b KQkq -,27,71.0
r3k2r/pbppq1pp/1pn1p3/2P2p2/1b1PnB1P/1QN1PN2/PP2BPP1/R3K2R b KQkq -,27,-35.0
r2qkb1r/1pp2ppp/p1n1b3/3n4/2BP4/2N2N2/PP3PPP/R1BQK2R w KQkq -,31,4.0
5k2/b4b1p/5R2/8/1p1NPP2/r2BK3/7P/8 b - -,22,-460.0
1rb3k1/p2p1p2/1qn2n1p/b7/2p1PNpP/P1N2P2/1P1Q2P1/R3KB1R w KQ -,24,-76.0
8/4Q3/2k5/1p1q4/2p5/P1P5/1P6/1K6 w - -,44,9.0
7k/pb6/1p3p2/2p1p1p1/8/QP5P/P6r/1B3K2 w - -,25,659.0
r2qk2r/ppp2ppp/2n5/2b1p3/4P1b1/2PP2P1/P3NPBP/R1BQ1RK1 b kq -,19,-86.0
r4rk1/3pnppp/pq6/1p6/1P1pBPQ1/8/P2B2PP/R4RK1 b - -,17,-98.0
2bqr1k1/1p3ppp/r4n2/pN2p1B1/2P5/3P2PP/PP3PB1/3RQ1K1 b - -,23,0.0
8/1p3p1p/p2pk1p1/2p1p3/2P1P3/P2PK1P1/1P3P1P/8 w - -,20,-21.0
rn3rk1/p2q1pp1/1p2pBnp/2ppP2N/3P4/2P2QP1/PP3P1P/R3K2R b KQ -,28,324.0
8/8/6pp/5p2/2KN4/1p5P/1k3PP1/1n6 b - -,26,-525.0
r1bq1rk1/3n1pbp/p1pp1np1/1p1Pp1B1/2P1P3/2NB1P2/PP1QN1PP/R4RK1 b - -,27,44.0
2b4r/6k1/p1BR1p2/Ppn1p3/2p1P2P/2P3P1/1P3P2/5K2 w - -,21,-216.0
r3r1k1/1p2qpbp/2n1p1p1/2Pp4/1P1P4/p1B3P1/P3QPNP/2RR2K1 b - -,26,22.0
r2r2k1/ppp1bppp/2n2n2/4p1Bb/2P1P3/2N2N1P/PP2BPP1/R2R2K1 w - -,23,20.0
2r3k1/1pq2pp1/p1n1p2p/3p1b2/3P4/P1Q1PNP1/1P3PBP/5RK1 b - -,26,-97.0
r4rk1/ppq3p1/3bp2p/2p2p1P/3P2n1/2P2N2/PPQB1PR1/2K4R w - -,29,-67.0
r2q4/1pp3kp/p2p1r1R/8/3BbPn1/2Q5/PPP5/2KR1B2 w - -,22,619.0
k7/P7/4K3/5Pp1/8/R5Pp/8/5r2 w - -,20,467.0
r1bqkbnr/pp4pp/2nppp2/7Q/4P3/4B3/PPP2PPP/RN2KBNR b KQkq -,22,31.0
N1b4r/pp1k1ppp/2nb1n2/q2p4/8/2PQP3/PP3PPP/R3KBNR w KQ -,34,-100.0
8/ppp4k/5p2/3p4/3P3P/2P1q3/PP1N1R2/3K2R1 b - -,24,-171.0
2br1r2/bp3pkp/p5p1/5p2/1P3N2/P1NBP2P/2P1RnP1/2KR4 w - -,20,106.0
8/7k/7p/6pn/R7/2K5/8/8 b - -,40,0.0
r4rk1/1b2bppp/p3p3/1p1qN3/2pP1P2/4P3/PBP1Q1PP/R4RK1 w - -,17,-222.0
r2qkb1r/ppp2ppp/4n3/3npbN1/2B5/2PP4/PP3PPP/RNBQK2R w KQkq -,25,128.0
r4rk1/pp1nbpp1/2p2n1p/3p4/3P3B/2NBQ2P/PqP2PP1/R4RK1 w - -,29,194.0
2r4r/p3kpbp/1p2bpp1/8/8/1N1BP3/PPP2PPP/R3K2R w KQ -,23,117.0
8/6k1/1p4pp/6P1/1R5P/1P1r2K1/5P2/8 w - -,24,384.0
r1b2r1k/1pq3pp/1b6/3pRp2/1p6/NQP2N2/P4PPP/R5K1 w - -,37,0.0
r1bqr1k1/ppp2pbp/2np1np1/4p3/3P4/2PBPN1P/PP3PPB/RN1QK2R w KQ -,24,11.0
r1b2rk1/p1p1q1p1/2p2p1p/3pP3/5Pn1/2PB1Q1P/PP4P1/RN3RK1 b - -,24,-186.0
8/pk6/4p2B/2R5/PP3P2/5K1P/6P1/7r b - -,23,792.0
Q2r2k1/2p2ppp/2n5/1p2P3/6b1/P1P5/1B3PPP/3q1RK1 w - -,26,-436.0
1r3rk1/1p3pbp/p1qpp3/2p4P/4PP2/R1PP3B/1P2Q3/2R3K1 b - -,21,-175.0
r2qkb1r/1p1n1p2/2nBp3/pBPp4/1P4pp/P1P1P2P/4QPP1/RN2K2R b KQkq -,17,-17.0
nrn2kqr/ppb1p1pp/2p2pb1/P2p4/3P4/1N1N1P2/1PP1P1PP/1R1BBKQR w KQkq -,21,123.0
rn1qkb1r/pp2pp2/2p2n1p/3pB1p1/3P2b1/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,23,58.0
8/4k3/4p3/3p1pPp/bppP1P1P/2P1KP2/P7/3B4 w - -,22,811.0
4q3/p5kp/4p3/1Pp1Ppp1/8/7P/P4PP1/3Q2K1 b - -,20,0.0
r1b1r1k1/4nppp/4p3/p1BpP3/PP6/2q2N2/5PPP/R2QR1K1 w - -,23,392.0
rnbq1rk1/p1p2ppp/1p2pn2/3p4/P1PP4/B1P1P3/5PPP/R2QKBNR b KQ -,30,14.0
5r1k/1pq1r1p1/2pnp1Bp/p2p4/3P1PP1/P3PR1P/1PQ5/2R4K w - -,22,135.0
r1b2rk1/pp3ppp/8/2pqp3/1n6/3P1N2/PPPQBPPP/R3K2R w KQ -,20,-25.0
2r3k1/4qppp/1np1b1B1/1p1p4/1P1P4/2Q1PN1P/4NPP1/R5K1 b - -,18,99.0
r1bqnrk1/1p2ppb1/p2p2p1/2pPnP1p/P1N1P3/2N4P/1PP1B1P1/R1BQ1RK1 w - -,20,146.0
2r2rk1/3bq2p/n2p1p1Q/1p1PpPPR/1P2P3/p1N5/P4N2/R3K3 b Q -,21,94.0
4b3/7k/3p1rp1/2q1p1Rp/1pPnPr1P/pP3P2/P2N3R/1K1B2Q1 b - -,30,-181.0
8/8/4pkp1/1p1p4/1PpPpP1b/2PnP2K/2RBB3/r7 b - -,17,-543.0
8/7K/8/k4p1P/5Pr1/R5P1/8/8 b - -,19,869.0
8/5k2/p4p2/1prp4/4nB2/2P3Pp/PP2R2P/5K2 w - -,20,-41.0
2r5/1p2kp2/1pb1nN1p/2b1P1pP/3r4/1B3P2/PP1B2P1/2KR3R w - -,20,125.0
8/4n2p/1R2kppP/8/r7/4N3/P4PP1/6K1 b - -,23,2.0
8/8/8/7p/5k2/8/K6R/8 b - -,65,0.0
2b3k1/5ppp/1pq2n2/p2p4/P1NP4/1P4PP/1Q3PB1/6K1 b - -,29,-4.0
8/K6p/6p1/8/3k2B1/8/P7/8 b - -,55,0.0
r4rk1/pppnq1bp/3p2p1/3P1b2/2P1p3/1Q2B1N1/PP1N1PPP/R4R1K b - -,30,-14.0
4rr2/2pk4/1p1b4/p2p1npp/P2P4/2PN1RP1/1P2NP2/2K4R w - -,36,0.0
2k5/4P1p1/pp4pr/2P2p2/1P6/P5B1/6PP/4R1K1 b - -,22,1280.0
2kr2nQ/ppqnb2p/4p3/3pP3/1p3PP1/P7/1BQN4/R3KBNR w KQ -,20,1464.0
r3kb1r/pp3ppp/2n1pn2/1Bpp4/3P1B2/q3PN2/2PQ1PPP/1R3RK1 b kq -,21,-25.0
3rkb1r/pp2q3/8/2p1np1p/3nQ1p1/3BB3/PPP2PPP/3RK1NR w - -,21,-533.0
r4rk1/1p1b1ppp/4p1n1/4q3/p6P/3B4/PP2QPP1/1RBR2K1 w - -,20,312.0
r3k2r/1p3p1p/p1q1pnpP/3pB3/1b1P2P1/2NQ1P2/PPP5/R3K2R b KQkq -,21,115.0
2k1r2r/1pp3p1/p1np4/6Np/5P2/8/PPP3PP/2K1RR2 b - -,28,-2.0
3r4/pp5r/2p1pBk1/3P2p1/P1P1p1p1/1P2P1P1/3R1P1K/3R4 w - -,30,85.0
r3k1nr/pppb1ppp/2nb1q2/3p4/3P4/2PB1N2/PP3PPP/R1BQK1NR w KQkq -,24,5.0
r1b1k2r/2q1bppp/p1n1p3/1p2P3/1P6/P2BBN2/5PPP/2RQ1RK1 b kq -,25,324.0
4Q2k/pp5p/3N4/3p4/8/8/PP2r2P/7K b - -,22,524.0
r1bqkbnr/p1p2p2/2p1p2p/3pB1p1/3P4/4P3/PPP2PPP/RN1QKB1R b KQkq -,20,78.0
8/4k3/4B3/2KPp1p1/6P1/5PbP/8/8 b - -,40,30.0
r2qkb1r/pp1b2p1/2p2nNp/3ppP2/8/P2P4/BPP2PPP/R1BQK2R b KQkq -,21,175.0
rq2kb1r/pp1b1ppp/4pn2/4p1B1/2B1P3/2N5/PP2QPPP/R2R2K1 b kq -,34,0.0
rq4k1/6bp/3pr1p1/3Pnn2/1pp1N3/4B3/PP2Q1PP/R4RK1 w - -,15,-12.0
4rN2/pp4pk/6bp/3Q2p1/8/q1P4P/6P1/5R1K b - -,21,-676.0
1rb2rk1/1pp1bpp1/p6p/4PP2/3q4/6B1/PP1N2PP/R2Q1R1K b - -,32,-42.0
r1bqrbk1/1p3pp1/p4n1p/n2p4/3N4/2N1B1P1/PPQ1PPBP/R4RK1 b - -,23,-10.0
rnb1nrk1/ppq3p1/2p4p/3pPp1P/5B2/2N1P3/PPP1BP2/R2QK1R1 b Q -,30,205.0
2Nq3k/6pp/3p4/p4P2/1pb4P/4Q1P1/Pb2B3/5RK1 b - -,21,203.0
rnb1k2r/pp2ppbp/6p1/3q4/3P4/5N2/P2B1PPP/2RQKB1R b Kkq -,26,-82.0
5R2/4r3/4B1pk/4p2p/7P/8/6PK/8 w - -,30,377.0
B4rk1/Q3ppbp/6p1/8/8/4B1P1/Pq2bP1P/R5K1 w - -,25,2.0
r2k3r/1p1b1p1p/p3q1p1/1n1NPpB1/n1BP4/P1P5/2P3PP/R3QRK1 b - -,20,658.0
5bk1/p1r2ppp/1p2p1n1/4P3/1P2KP1P/PQ4P1/8/8 b - -,20,-423.0
5k1r/p1p2ppp/1pB5/5b2/2PNp3/1P2P2P/P4PP1/3K3R b - -,21,572.0
rn2kb1r/p4ppp/2b2n2/8/4pP2/2N5/PPP3PP/R1B1KB1R b KQkq -,23,-375.0
rnbqkbnr/pp3ppp/2p1p3/8/4N3/1P6/P1PP1PPP/R1BQKBNR w KQkq -,25,68.0
5bk1/pp4pp/4p3/3nQ3/3pN3/P7/1P3PPP/2r2BK1 b - -,23,568.0
r1b2rk1/6bp/p1p3p1/3pn1B1/8/2N4P/PP1QBqP1/R3R2K b - -,22,-340.0
6n1/p2Bbkp1/1p2p3/3pP1pP/1P1P1pP1/P4P2/4K3/2B5 w - -,34,113.0
r4rk1/1p1n1pp1/1q2p2p/1N1p4/Pp1Pn1P1/3BPQ1P/1P3P2/R1R3K1 w - -,20,115.0
8/5kn1/8/K7/8/8/P4P2/8 b - -,25,0.0
r3r1k1/pQ3pbp/2p3p1/3p1b2/4P3/2Nq4/PP1B1PPP/2KR3R b - -,25,-509.0
7r/1pNk2p1/p3p1b1/7p/1n3B2/5P2/PP4PP/3K2NR w - -,27,138.0
r2qr1k1/1pp2ppp/1pnp1nb1/6B1/3NP1P1/5P2/PPP3BP/R2QR1K1 b - -,20,152.0
r4rk1/pp3p1p/1np2pb1/3p4/8/1BN5/PPP3PP/R4R1K w - -,20,-265.0
8/5p1p/4bkp1/p2p4/3N4/1P4P1/4PPBP/2n3K1 w - -,20,0.0
3r1rk1/p2qbppp/2p5/2p5/4Q3/B1P5/P1P2PPP/R3R1K1 w - -,21,470.0
2r5/7k/6pp/5p2/2bR3P/2p1PPP1/3p4/R2K4 w - -,26,-13.0
8/kp6/7P/2qnP3/1p3PP1/5QK1/8/8 b - -,44,0.0
r5k1/1p3ppp/8/p2pP3/Q3n1n1/B1PB1q2/P3R2P/R5K1 b - -,18,-662.0
8/p4rk1/3q1rp1/8/1p2R3/1P2Q3/PP5P/K3R3 w - -,30,30.0
rn1q1rk1/pp2bppp/2p1pn2/3p1b2/1P6/P2P2P1/1BPNPPBP/R2QK1NR w KQ -,28,0.0
2r3k1/p4p1p/4p1p1/2b1P3/PRb2PP1/2p5/6KP/2R5 w - -,21,474.0
8/4k3/R7/3K2P1/2P4r/8/8/8 b - -,22,608.0
r3r1k1/ppp2pbp/2np2p1/3N1bq1/2PP4/7P/PP2BPPB/R2Q1RK1 w - -,19,133.0
r5k1/ppp2ppp/1q6/2bP1bB1/6n1/PBN1rN2/1P1Q2PP/R5K1 w - -,23,-706.0
r4rk1/4bppp/b7/1N1n4/1P6/PN6/1B4PP/4RRK1 w - -,34,19.0
8/4k2p/8/1R3pK1/5N2/r3b1P1/7r/1R6 b - -,50,0.0
r2qr1k1/pp3ppp/2n2n2/8/1b2p3/1BN2b1P/PPP1NP2/R1B1K1QR w KQ -,21,-438.0
2k4r/pq3p1p/1p3PpB/2pb4/6Q1/7P/PPP2PP1/4R1K1 b - -,21,129.0
r3kb1r/4nppp/2p1p3/p3P3/2N5/8/PP3PPP/R1BR2K1 b kq -,27,27.0
r1k1qb1r/p1p1p2p/6p1/2pQp3/1P6/8/PP3PPP/nNB2RK1 w - -,18,843.0
r1r3k1/3n1ppp/b1q1pn2/8/1QpN4/P3P3/1B2BPPP/R2R2K1 b - -,23,-2.0
8/8/4pp1k/2Rb4/5p2/8/5KP1/8 w - -,47,-5.0
r2r2k1/Rbq2ppp/2N1pn2/1pP5/1P1P4/6P1/2Q2PB1/R5K1 b - -,21,304.0
1Q5k/5pp1/p1N4p/7b/5q2/1P1P4/PKR5/8 b - -,27,476.0
r2nk2r/bp2qp2/pp1p1n1p/P1P1p1p1/4P3/2P2NB1/3N1PPP/R2Q1RK1 b kq -,19,61.0
rn2kb1r/p3pPp1/2p4n/1p1p1BBp/7P/1QP5/P4PP1/qN2K1NR b Kkq -,21,283.0
r2rn1k1/4bppp/pq1pp3/8/1NR1P3/1P2BP2/P5PP/3R2K1 w - -,24,96.0
7Q/8/1p4r1/1Pp3k1/2P3p1/7K/8/8 w - -,25,828.0
r1b1k2r/ppppqppp/8/8/2P5/2N3P1/PPKP2P1/R1B2B1n b kq -,23,-957.0
4k3/7p/p1b1p1r1/4RQ2/3P4/5RP1/P2q3P/6K1 b - -,48,0.0
8/4K3/8/3B4/8/2Bk4/8/8 w - -,40,0.0
r4rk1/pp3ppp/6b1/2ppP3/4n1P1/P1B4P/1PP1BP2/2R2RK1 w - -,21,99.0
8/8/2Pk4/7p/4BP2/1p2K1b1/8/8 w - -,42,0.0
5rk1/rp1q1pbp/4p1p1/2Pp4/pQ1P4/Pn2B3/1P2BPPP/1R1R2K1 b - -,23,1.0
r1b3k1/p4ppp/3q4/1p1rB3/1bQ2P2/1N6/PP4PP/R4R1K w - -,22,287.0
2n5/3k2p1/p1R1p2p/3pP3/3N1rPP/1P6/P7/6K1 w - -,28,178.0
rn1qk2r/1ppb1ppp/4pn2/pPb5/Q1Pp4/P2P4/3NPPPP/R1B1KBNR w KQkq -,23,-2.0
rn2kbnr/pp3ppp/4b3/2pq4/Q2P4/5N2/PP3PPP/RNB1KB1R b KQkq -,20,46.0
r1bqr1k1/pp3ppp/1b3n2/2pp4/5N2/2PQ1P2/PP1BB1PP/R3K2R w KQ -,22,-213.0
r1b2rk1/pp5q/1n3p1p/3pN1p1/P2Q4/2P2NPP/6PK/4RR2 w - -,28,326.0
3r2k1/3q1ppp/4p3/4P3/3p1P2/1P1Q4/PP4PP/1K1R4 b - -,25,276.0
8/1R4pr/1p3p2/1k1Pp3/2p3P1/5K2/PP6/8 w - -,25,-22.0
bqr4r/3k1p2/p2p2p1/1p1N4/3B1P2/P4B2/1PP1Q2P/6RK b - -,22,462.0
5r1r/3k2p1/1ppn1p2/p2p3p/P2P1n1P/2P2RP1/1PKN1P2/7R w - -,24,-24.0
rnb1k1nr/ppp2pbp/6p1/4P3/5P2/2N2N2/PPPQ3P/R3KB1R b KQkq -,22,546.0
6k1/p5p1/2Pb1p2/3N2p1/4pP2/6BP/r5P1/4K3 w - -,23,-428.0
5k2/2r2p1Q/4p1p1/2PnP1N1/q7/2Pb4/5PPP/4R1K1 b - -,41,0.0
r4rk1/pppq1pp1/3p1n1p/3Pp3/8/1B1P3P/PPPQ1PP1/R3K2R w KQ -,24,-20.0
rn1qkb1r/1b1p1ppp/p3pn2/2p5/1p1PP3/3B1NN1/PPP2PPP/R1BQK2R w KQkq -,20,100.0
r1b1kb1r/pp1n1ppp/6q1/1B2p3/1nN1P3/1N2BP2/Pp2Q1PP/R3K2R w KQkq -,20,12.0
rn1qk2r/1p2bp2/p2p1p1p/4pP2/2B5/2N5/PPP2PPP/R2QK2R w KQkq -,22,315.0
5r1k/p5p1/1p1b4/1P6/3Ppr1q/4N3/2R1Q2P/R6K b - -,21,-1073.0
r4rk1/p1p1nppp/1pp5/8/4PPb1/3P2P1/P1PN3P/R3K2R b KQq -,22,-414.0
8/1p2q1k1/p2nP1p1/P4rNp/RP2QP1P/2r5/5P2/4R1K1 w - -,23,610.0
r2q1rk1/p1pnbppp/2p5/2Pp1b2/Q2B4/6P1/PP2PPBP/RN3RK1 b - -,23,25.0
8/8/8/P2k3p/6pP/5pP1/5P1K/8 w - -,50,0.0
rBbqkb1r/pp2pppp/5n2/3p4/3QP3/8/PPP2PPP/RN2KBNR b KQkq -,28,47.0
rnb1k2r/pp2bppp/1q2pn2/3p2B1/3P4/5P2/PPPNB1PP/R2QK1NR w KQkq -,20,-36.0
8/3qn2k/p1p2ppp/8/P2PQP2/3B3P/1P4P1/6K1 w - -,22,328.0
8/8/8/8/kp5r/6R1/1K6/8 w - -,40,0.0
7k/6pp/R7/1R6/5Pn1/6P1/PPP1r1KP/4r3 w - -,21,0.0
3r1k2/pp2n2p/6p1/n2p4/3P2P1/1BN5/PP5P/4RK2 w - -,25,0.0
2r4r/pp2kppp/n7/2p5/4n3/4P3/PP2KPPP/R4BNR b - -,16,-194.0
3rr1k1/p1p2ppp/bp6/3n4/7q/4BQ2/PPPN1PPP/2KRR3 w - -,17,-39.0
3q1rk1/1b4pp/2n1p3/1p1nP3/1bpP1p2/5P1N/1P2KBPP/2RQ1B1R w - -,24,-526.0
2r1r1k1/pp3ppp/5n2/2b4q/5B2/2N3PP/PP3PQ1/R4RK1 w - -,31,-15.0
8/p7/1p6/7k/3q4/3B4/1PP5/1K4R1 w - -,42,0.0
rnbqkbnr/1pp3pp/p2p4/3Pp3/4Pp2/3B1NPP/PPP2P2/RNBQK2R b KQkq -,29,34.0
7k/6R1/b1rb1n1p/p2pB3/P2P1P1P/7B/1P5K/8 b - -,27,-866.0
r1b1r1k1/1p1n1ppp/p2p4/2pP2q1/4P2N/N6P/PP3PP1/R2QR1K1 b - -,22,-353.0
1r3rk1/1p3ppp/p4n2/1Nb5/4P3/2N2P2/PP4PP/R3K2R w KQ -,24,66.0
2k5/1p3p2/2q5/2p1rPB1/P1Qp2P1/1P4Pp/2P4P/1K6 b - -,24,-222.0
r4rk1/p1q3pp/1p1bpp2/2PbN3/5P2/2P1B3/PPQ3PP/2RR2K1 b - -,28,-204.0
8/1p1r2p1/p2pk2p/P1PRp3/1P6/5rPP/3R1P1K/8 b - -,21,-179.0
6k1/pp5p/2p3p1/2q5/3p3P/1P1P2P1/P1PN4/6K1 w - -,22,-616.0
r1bqk2r/ppp2ppp/3b4/3pn3/3Pn3/3B1P2/PPP3PP/RNBQ1RK1 w kq -,27,-31.0
2k1r3/pp3pp1/7p/2p5/2Pq2n1/3P2b1/PP2B1P1/RNB2Q1K w - -,23,-565.0
2r2rk1/1p3p1p/p7/3p1qbR/1n4n1/1P1p2QN/PBPP1PP1/R4K2 b - -,21,-414.0
rn2kbnr/ppp1pppp/3q4/3p1bB1/3P4/1QP5/PP2PPPP/RN2KBNR b KQkq -,27,-22.0
r2k1br1/ppp2pp1/4qn1p/1Q6/3Pp3/2N1Pn1P/PPP2P1P/R1BK1B1R b - -,20,0.0
4r3/p1p3k1/1p6/3rp1pp/8/1P1P2B1/P4P2/3R1RK1 b - -,23,149.0
8/8/3N4/8/5pk1/8/4K2p/8 w - -,52,0.0
2R2rk1/NP3pp1/3R3p/4p3/4n3/7P/1r6/6K1 w - -,25,278.0
r4rk1/pp2bppp/5n2/2q1p1B1/3n4/P1N1QP2/1PP2P1P/2KR1B1R w - -,21,38.0
5rk1/1p4pp/p1p4r/P1Pp1R2/3P2Bb/2P1q2P/6Q1/R5K1 w - -,23,-278.0
6k1/2q2pp1/4b2p/r2p4/2p5/2P2PP1/2Q4P/1R2R1K1 b - -,20,-7.0
1r4k1/p3p2p/5pp1/2B5/2PPB3/2r3P1/b2N3P/3R3K w - -,21,226.0
r3k1nr/pp6/2nqpp2/3p1b1p/3P3P/P3B3/1P3PP1/R2QKBNR b KQkq -,34,0.0
3r2k1/pp3pp1/1q1rb2p/5n2/8/P1NB1R1P/1P3PP1/1R3QK1 b - -,26,-28.0
r1b2rk1/pp2np1p/4p1pn/3pP1N1/1P4P1/P2B1N1P/1BP1K3/7R b - -,24,-132.0
2r1br2/1pq2pbk/p2ppnpp/P1n5/2BNP3/1PN2P2/2PQ2PP/1R1R2BK b - -,23,55.0
8/2R5/2B1p3/p1bk1pp1/P3r3/6P1/5PKP/8 b - -,42,0.0
6k1/5p1p/2bqp1p1/3p4/2pP1P2/2P1P3/r3B1PP/1RQ3K1 w - -,30,0.0
6r1/8/1RPk4/1P4p1/P3p3/6P1/5P1P/6K1 b - -,21,792.0
r5r1/ppk1qp1Q/2pp4/8/4PB2/8/PPP2PPP/R4RK1 b - -,26,567.0
rnbqkbnr/pp4pp/2p2p2/3pp3/3NP3/3P4/PPP2PPP/RNBQKB1R w KQkq -,28,-23.0
2k2n2/2p3p1/1p1p4/pP2p2p/P1N1n2P/2P5/8/4BNK1 b - -,20,-24.0
8/5kp1/1p3p1p/8/RPrP4/3K4/8/8 b - -,20,-385.0
rnbq1r1k/p5pp/2pbpn2/1p3p2/2BP1P2/2N1P3/PP2N1PP/R1BQ1RK1 w - -,25,-32.0
rn1qkb1r/ppp2ppb/3p1n1p/4p3/2P5/1P1PPN2/PB3PPP/RN1QKB1R w KQkq -,26,20.0
8/6pk/p6p/P2PQ3/2P5/4P2P/2q3r1/R5K1 w - -,21,-532.0
rn2r1k1/pp3ppp/2p2nb1/8/4P1P1/2NP1N1q/PPP1B2b/R1BQ1R1K w - -,22,489.0
bnqb1rkr/ppp1pppp/3n4/3p4/5P2/4P3/PPPP2PP/BNQBNRKR w KQkq -,20,-40.0
rn1q1rk1/pp4pp/2pppn2/6B1/1b1NP3/2N4P/PPP2PP1/R2Q1RK1 b - -,19,1.0
rnbqr1k1/pp3pbp/3p1np1/2pP4/8/2N3N1/PPP1BPPP/R1BQR1K1 b - -,24,55.0
7Q/pp6/8/6K1/3p4/PPk5/8/3q4 w - -,24,-628.0
8/p3kpp1/4rnp1/2p5/2P5/R4P2/P1PB2PP/5K2 b - -,26,136.0
r1b1k1r1/1p2qp2/p3pNp1/4n3/5Q2/8/PPP2PP1/2KR3R b q -,21,602.0
3r4/p4k2/6pp/1p1pRp2/1P1P1P2/2P5/P5P1/5K2 b - -,36,0.0
2r2rk1/pb1qb1p1/1p2P2p/8/4pPQ1/2p1P3/PBP3PP/R2R2K1 b - -,24,-878.0
8/2k4p/R3B3/1p2p1p1/8/2P1B3/P1P3PP/6K1 w - -,20,3981.0
2kr1bnr/pp1n2pp/3p4/2pP1q2/8/2N2N2/PP3PPP/R1BQ1RK1 b - -,27,89.0
2r5/7p/6pk/8/5B2/1P4Q1/P2q3P/1K6 b - -,21,692.0
3r1k2/5p1p/3N3P/2b1Pb2/1R3Bp1/1P6/P7/K7 w - -,24,175.0
8/B4kp1/p3bp2/1p3n2/8/P1P2Kp1/1P6/8 w - -,24,-729.0
r3k2r/pp1b1p2/n3p3/3pP2p/6pP/2N1q1P1/PPP1B1P1/R2Q1R1K w kq -,23,178.0
8/pp6/2bk2pp/8/3n2P1/P5KP/8/4R3 w - -,26,-382.0
r7/5k2/3P4/7p/bR3B2/Pp3P2/1P3K2/8 w - -,28,306.0
2r2rk1/3q1pp1/1pRppn1p/p7/3P4/4PN2/PPQ2PPP/2R3K1 b - -,20,40.0
5rk1/p1p2p1r/1p1p1Qp1/3P3p/1PP3b1/3BN3/P2K4/R7 b - -,27,671.0
rnbq1rk1/pppnppb1/3p2pp/3P4/2P5/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,26,81.0
